aX,aY,aZ
-0.023,0.18,1.074
-0.022,0.145,1.052
-0.049,0.097,1.041
-0.065,0.092,1.022
-0.077,0.108,1.01
-0.074,0.117,0.995
-0.065,0.122,0.988
-0.062,0.117,0.958
-0.075,0.112,0.935
-0.087,0.099,0.896
-0.09,0.081,0.888
-0.074,0.072,0.879
-0.067,0.084,0.871
-0.045,0.078,0.866
-0.037,0.085,0.871
-0.03,0.094,0.877
-0.024,0.11,0.892
-0.015,0.118,0.901
-0.012,0.129,0.918
-0.009,0.138,0.93
-0.006,0.152,0.94
-0.008,0.158,0.958
-0.009,0.165,0.969
-0.012,0.168,0.99
-0.017,0.17,1.004
-0.018,0.172,1.032
-0.023,0.173,1.037
-0.025,0.167,1.05
-0.032,0.161,1.058
-0.031,0.136,1.064
-0.033,0.123,1.071
-0.029,0.101,1.075
-0.028,0.096,1.078
-0.027,0.084,1.08
-0.029,0.079,1.089
-0.029,0.076,1.093
-0.025,0.079,1.099
-0.016,0.077,1.102
-0.016,0.06,1.098
-0.022,0.052,1.086
-0.041,0.057,1.065
-0.051,0.053,1.055
-0.026,0.028,1.059
-0.02,0.04,1.058
-0.019,0.058,1.051
-0.015,0.091,1.051
-0.006,0.104,1.064
-0.004,0.123,1.068
-0.005,0.129,1.071
-0.005,0.135,1.069
-0.007,0.134,1.06
-0.008,0.139,1.055
-0.005,0.143,1.049
0.002,0.146,1.045
0.017,0.138,1.096
0.017,0.14,1.054
0.007,0.137,1.017
-0.014,0.131,1.007
0.019,0.109,1.052
0.02,0.088,1.025
0.012,0.061,1.004
-0.008,0.055,0.985
-0.01,0.045,0.983
-0.01,0.043,0.984
-0.01,0.041,0.977
-0.01,0.046,0.97
-0.022,0.053,0.966
-0.027,0.046,0.956
-0.038,0.039,0.951
-0.048,0.035,0.949
-0.055,0.034,0.951
-0.056,0.029,0.943
-0.058,0.041,0.955
-0.057,0.061,0.953
-0.052,0.077,0.945
-0.042,0.087,0.943
-0.038,0.108,0.944
-0.034,0.119,0.947
-0.037,0.128,0.948
-0.03,0.126,0.943
-0.024,0.122,0.942
-0.023,0.123,0.945
-0.02,0.122,0.949
-0.017,0.127,0.954
-0.012,0.126,0.959
-0.007,0.128,0.967
-0.001,0.127,0.974
0.002,0.123,0.985
0.005,0.122,0.997
0.004,0.119,1.002
0.002,0.119,1.007
-0.005,0.12,1.01
-0.008,0.121,1.007
-0.015,0.112,1.008
-0.021,0.103,1.009
-0.034,0.089,1.008
-0.038,0.086,1.013
