aX,aY,aZ
0.39,0.141,0.858
0.392,0.143,0.865
0.393,0.141,0.868
0.391,0.139,0.874
0.409,0.127,0.882
0.431,0.121,0.903
0.456,0.105,0.904
0.374,0.079,0.892
0.367,0.103,0.902
0.386,0.143,0.912
0.399,0.157,0.933
0.39,0.207,1.029
0.381,0.237,1.092
0.386,0.225,1.195
0.407,0.188,1.236
0.42,0.117,1.285
0.465,0.088,1.298
0.493,0.053,1.298
0.554,0.04,1.292
0.575,0.029,1.267
0.579,0.036,1.249
0.562,0.078,1.215
0.503,0.106,1.199
0.468,0.147,1.169
0.406,0.157,1.158
0.385,0.171,1.122
0.378,0.171,1.113
0.413,0.195,1.134
0.409,0.175,1.129
0.365,0.126,1.103
0.282,0.133,1.102
0.284,0.182,1.112
0.289,0.183,1.104
0.276,0.143,1.098
0.245,0.122,1.103
0.238,0.097,1.121
0.222,0.089,1.123
0.211,0.081,1.125
0.197,0.083,1.127
0.19,0.092,1.129
0.187,0.092,1.132
0.191,0.097,1.145
0.194,0.101,1.154
0.196,0.104,1.179
0.195,0.102,1.195
0.195,0.095,1.223
0.197,0.094,1.233
0.202,0.098,1.238
0.222,0.123,1.238
0.238,0.161,1.238
0.268,0.178,1.234
0.285,0.21,1.22
0.307,0.224,1.212
0.316,0.361,1.195
0.335,0.268,1.184
0.346,0.274,1.169
0.358,0.268,1.154
0.361,0.267,1.114
0.368,0.263,1.092
0.369,0.266,1.046
0.365,0.278,1.024
0.361,0.287,0.99
0.344,0.304,0.973
0.336,0.318,0.946
0.326,0.338,0.934
0.321,0.346,0.915
0.321,0.362,0.911
0.316,0.37,0.899
0.308,0.395,0.895
0.304,0.4,0.897
0.305,0.396,0.904
0.308,0.393,0.915
0.317,0.381,0.92
0.323,0.362,0.919
0.319,0.313,0.919
0.322,0.334,0.93
0.78,0.583,0.671
0.787,0.579,0.633
0.785,0.539,0.618
0.789,0.522,0.591
0.771,0.505,0.565
0.76,0.487,0.529
0.767,0.467,0.51
0.783,0.448,0.492
0.803,0.42,0.462
0.789,0.406,0.382
0.783,0.364,0.354
0.765,0.374,0.263
0.734,0.383,0.227
0.711,0.417,0.125
0.685,0.447,0.099
0.674,0.466,0.035
0.669,0.506,0.006
0.677,0.52,-0.02
0.698,0.532,-0.032
0.712,0.54,-0.039
0.751,0.557,-0.044
0.771,0.559,-0.052
0.805,0.565,-0.048
0.821,0.563,-0.048
0.854,0.555,-0.044
0.865,0.543,-0.035
0.885,0.537,-0.024
0.894,0.518,0
0.902,0.505,0.008
0.905,0.467,0.021
